year,make,model,trim,body,transmission,state,condition,odometer,color,interior,sellingprice
2012,Hyundai,Sonata,GLS,Sedan,automatic,fl,4.5,35134.0,silver,gray,12500
2011,Kia,Soul,!,wagon,automatic,nj,3.5,38311.0,blue,black,9700
2013,Lincoln,MKX,Base,SUV,automatic,pa,4.9,19272.0,silver,black,30000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,il,4.0,11402.0,gray,tan,17200
2011,Ford,F-350 Super Duty,Lariat,crew cab,automatic,tx,2.8,90729.0,black,black,35500
2012,Ford,Fusion,SEL,Sedan,automatic,ny,4.3,31222.0,black,gray,11800
2013,Nissan,Altima,2.5,sedan,automatic,mi,3.6,64928.0,gray,black,10000
2015,Chevrolet,Traverse,LT,SUV,automatic,il,4.0,9331.0,black,gray,26900
2014,Dodge,Charger,SE,Sedan,automatic,mi,4.8,9797.0,blue,black,17600
2013,Toyota,Yaris,LE,hatchback,automatic,fl,3.7,50312.0,white,gray,8500
2014,Nissan,Altima,2.5 S,Sedan,automatic,fl,4.3,10986.0,black,black,15200
2012,Volkswagen,Passat,SE PZEV,Sedan,,pa,2.8,61558.0,silver,black,9200
2012,Volkswagen,Jetta,SE PZEV,Sedan,,pa,3.1,57788.0,blue,black,9000
2014,Ford,E-Series Wagon,E-150 XL,Van,,sc,4.0,22853.0,white,gray,21000
2015,BMW,X5,xDrive50i,SUV,automatic,oh,4.9,5384.0,white,,49250
2012,Audi,S4,Premium Plus quattro,sedan,automatic,fl,4.5,44954.0,white,black,29000
2011,Infiniti,EX,EX35,SUV,automatic,ca,4.0,44993.0,black,black,23250
2014,Ford,Taurus,Limited,Sedan,automatic,mo,3.7,33988.0,gray,black,18800
2014,BMW,X3,xDrive28i,SUV,automatic,oh,4.6,8758.0,white,beige,40500
2011,Nissan,Maxima,3.5 SV,Sedan,,pa,4.4,19130.0,gray,black,17900
2011,Toyota,4Runner,SR5,SUV,automatic,fl,4.5,131970.0,gray,black,22200
2011,Nissan,Rogue,SV,SUV,automatic,pa,3.0,34737.0,black,black,13600
2014,Nissan,Altima,2.5 S,sedan,automatic,il,3.3,8025.0,gray,black,14000
2014,Nissan,Altima,2.5 S,Sedan,automatic,tn,3.9,14429.0,blue,black,18000
2012,Mazda,Mazda6,i Touring Plus,sedan,,pa,2.1,36299.0,silver,black,10900
2012,Infiniti,G Sedan,G25,G Sedan,automatic,tx,4.2,30196.0,white,beige,18800
2013,Acura,RDX,Technology Package,suv,automatic,fl,4.7,14921.0,gray,black,27400
2013,Toyota,Venza,LE,Wagon,automatic,wa,2.8,33310.0,white,gray,17700
2012,Volkswagen,Passat,S PZEV,Sedan,automatic,ca,2.8,57314.0,gray,black,9000
2013,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,ca,3.4,100189.0,silver,black,9400
2013,Chevrolet,Cruze,2LT,Sedan,automatic,la,3.4,58999.0,blue,black,10100
2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,la,3.9,53320.0,red,black,10100
2014,Nissan,Altima,2.5 S,Sedan,automatic,md,2.0,19984.0,silver,black,12300
2015,BMW,5 Series,535i,Sedan,automatic,nj,4.5,7192.0,white,black,48500
2013,Toyota,Tundra,Tundra,CrewMax Cab,automatic,tx,4.6,28699.0,white,gray,27300
2013,Land Rover,LR4,HSE LUX,SUV,,pa,4.7,24722.0,white,brown,50000
2012,Suzuki,SX4,Base,Sedan,automatic,ca,3.4,54266.0,orange,black,8500
2012,Volkswagen,Jetta SportWagen,TDI,Wagon,manual,pa,3.8,105584.0,gray,black,12100
2013,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,pr,4.2,28079.0,silver,gray,32600
2014,Lincoln,MKT,Base,Wagon,automatic,tn,4.5,27664.0,white,beige,34500
2014,Dodge,Journey,SE,SUV,automatic,fl,3.9,22822.0,brown,black,15300
2013,Chevrolet,Equinox,LT,SUV,automatic,mi,4.6,65103.0,gray,black,16600
2012,Honda,Accord,EX,Sedan,automatic,nj,1.9,16952.0,gray,black,11600
2012,Toyota,Camry,SE,sedan,automatic,tn,2.3,34934.0,,black,12100
2012,Ford,Mustang,V6,coupe,automatic,ny,1.9,38493.0,black,black,9500
2013,Toyota,RAV4,Limited,suv,,pa,4.2,25214.0,silver,gray,22600
2013,Dodge,Grand Caravan,SE,Minivan,automatic,nv,2.9,38662.0,black,black,11700
2012,Honda,Pilot,EX-L,SUV,automatic,pa,4.0,32251.0,gray,black,23800
2011,Buick,LaCrosse,CXS,Sedan,automatic,oh,4.5,36571.0,silver,black,17500
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,ca,4.2,21018.0,black,beige,18250
2014,Ford,Fusion,SE,sedan,automatic,ny,3.6,35497.0,gray,black,12700
2012,Nissan,Frontier,PRO-4X,Crew Cab,automatic,co,2.1,38938.0,black,black,21100
2013,Chevrolet,Sonic,LT,Sedan,automatic,fl,3.4,57092.0,black,black,8800
2012,Nissan,Altima,2.5 S,Sedan,automatic,fl,3.8,28618.0,gray,black,14000
2012,Nissan,Altima,2.5 S,sedan,automatic,fl,4.6,32515.0,red,black,13000
2012,Ford,Fusion,SE,Sedan,automatic,tx,3.5,28626.0,black,gray,12300
2012,Acura,TSX,Base,Sedan,automatic,tn,4.0,17518.0,gray,gray,18100
2012,BMW,ActiveHybrid 7,750Li,Sedan,automatic,ga,4.3,33053.0,black,black,37800
2012,Lincoln,MKT,Base,Wagon,automatic,ca,2.9,87526.0,black,black,18000
2012,Scion,xD,Base,Hatchback,automatic,fl,4.4,19008.0,white,black,12200
2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,md,3.8,36343.0,blue,gray,12900
2014,Chevrolet,Traverse,LT,SUV,automatic,ne,3.6,37315.0,beige,black,27000
2013,Ford,Escape,SEL,suv,automatic,il,4.8,25719.0,red,black,19900
2013,Ford,Fusion,SE,Sedan,automatic,pa,4.3,77008.0,,beige,11100
2013,Ford,Fiesta,SE,Hatchback,automatic,hi,2.6,21845.0,gray,black,7900
2014,Chrysler,200,LX,sedan,automatic,fl,4.2,14882.0,gold,black,12200
2013,Ford,Taurus,SEL,Sedan,automatic,il,3.7,8094.0,gray,black,15500
2013,Nissan,Maxima,3.5 SV,Sedan,automatic,tn,3.7,64245.0,,gray,14200
2014,Ford,E-Series Van,E-250,E-Series Van,automatic,wa,4.9,7546.0,white,beige,22300
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,fl,3.7,65728.0,gray,gray,11500
2014,Kia,Soul,+,Wagon,automatic,ca,2.0,22699.0,white,black,11100
2012,Nissan,Altima,2.5 S,sedan,,pa,3.4,20900.0,black,gray,11200
2013,Honda,Pilot,EX-L,suv,,pa,4.4,23624.0,gray,black,27900
2013,Chevrolet,Cruze,LS,Sedan,automatic,la,1.9,46538.0,black,black,5200
2011,Porsche,Panamera,S,Sedan,automatic,fl,4.3,37036.0,blue,beige,49600
2011,Volkswagen,Jetta,SEL,Sedan,,on,3.5,71689.0,white,black,10800
2013,Mercedes-Benz,E-Class,E350 Sport,Sedan,automatic,ca,3.9,13682.0,,black,33750
2013,Hyundai,Elantra,GLS,Sedan,automatic,va,3.5,32414.0,red,tan,11800
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,ca,3.2,34037.0,burgundy,beige,15500
2014,Acura,RDX,Base,SUV,automatic,fl,4.5,13708.0,gray,beige,28500
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,wi,3.0,51820.0,blue,black,11300
2013,Lexus,GS 350,Base,Sedan,automatic,tx,4.6,34347.0,gray,black,31750
2012,Lexus,IS 250,Base,sedan,automatic,fl,4.5,3356.0,red,black,24000
2012,Chrysler,200,LX,Sedan,automatic,tn,2.6,56928.0,silver,tan,9600
2015,Chevrolet,Impala,LT,Sedan,automatic,il,4.0,12585.0,white,gray,13200
2011,Ford,F-150,Lariat,SuperCrew,automatic,pa,3.8,97942.0,black,black,20200
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,nc,4.6,14049.0,silver,,31300
2013,Toyota,Corolla,LE,Sedan,automatic,pa,3.5,43789.0,silver,gray,11300
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,nj,3.9,42214.0,white,gray,19600
2013,Chrysler,200,LX,Sedan,automatic,pa,3.6,38178.0,silver,black,9100
2015,Chrysler,200,C,Sedan,automatic,fl,4.0,969.0,white,beige,19200
2014,Ford,Focus,SE,Hatchback,automatic,mo,3.6,39706.0,black,black,11400
2011,Chrysler,Town and Country,Touring,minivan,automatic,md,4.8,36655.0,,black,13700
2013,Ford,Focus,SE,Sedan,automatic,il,4.0,58002.0,white,black,9200
2014,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,il,3.7,19701.0,white,gray,30800
2014,Kia,Optima,LX,sedan,automatic,co,4.3,11619.0,white,beige,15400
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,mo,3.2,57084.0,silver,black,16200
2014,Nissan,Pathfinder,SV,SUV,automatic,mo,3.5,49720.0,silver,black,20600
2013,Jeep,Wrangler,Unlimited Sport,suv,automatic,fl,4.5,19277.0,black,black,28400
2011,Mazda,Mazda3,s Grand Touring,Hatchback,automatic,ca,2.7,34261.0,white,black,14000
2013,Hyundai,Accent,GLS,sedan,automatic,oh,2.1,46937.0,gray,tan,7600
2013,Toyota,Prius,Two,Hatchback,automatic,ca,3.7,50614.0,silver,gray,15300
2013,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,automatic,oh,4.0,21544.0,white,black,25750
2014,Chevrolet,Cruze,1LT,Sedan,automatic,il,3.0,9811.0,beige,black,12900
2012,Chevrolet,Silverado 1500,LT,crew cab,automatic,tx,3.7,48072.0,black,black,24200
2014,Chrysler,300,C,Sedan,automatic,mn,4.0,14806.0,white,black,22900
2012,Ford,F-150,XLT,SuperCrew,automatic,pa,4.1,40170.0,gray,gray,25100
2013,Toyota,Corolla,L,Sedan,automatic,fl,4.8,14052.0,gray,gray,12700
2012,BMW,5 Series,535i,sedan,automatic,ca,3.9,45970.0,black,black,26000
2013,Ford,Focus,SE,Sedan,automatic,mi,3.1,15779.0,black,black,10300
2011,Dodge,Grand Caravan,Express,Minivan,automatic,ca,2.4,85054.0,gray,beige,8000
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,pa,2.8,31852.0,blue,black,16000
2012,Honda,Civic,LX,Sedan,automatic,pa,4.3,23205.0,burgundy,beige,12100
2012,Dodge,Journey,American Value Package,SUV,,qc,3.7,137546.0,black,beige,7100
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,fl,4.7,10827.0,,beige,19700
2014,Chevrolet,Cruze,2LT,Sedan,automatic,tx,4.6,36512.0,red,black,13700
2011,Jeep,Patriot,Sport,SUV,automatic,wi,4.2,79020.0,white,gray,9500
2011,Nissan,Rogue,SV,SUV,automatic,tn,3.8,106267.0,white,gray,8500
2012,Mercedes-Benz,E-Class,E350 Luxury 4MATIC,Sedan,automatic,oh,2.8,18700.0,,off-white,27250
2013,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,il,4.7,29303.0,black,gray,12600
2014,Ford,Fusion Hybrid,Titanium,Sedan,automatic,ga,3.5,33202.0,black,black,24500
2013,Toyota,Avalon,XLE,Sedan,automatic,ga,2.8,52746.0,beige,black,16401
2013,Dodge,Grand Caravan,SE,minivan,automatic,fl,4.0,239606.0,gold,black,6100
2012,Chevrolet,Express Cargo,1500,Van,automatic,fl,2.4,239409.0,white,gray,5900
2014,BMW,4 Series,428i,Convertible,automatic,ca,4.6,16336.0,red,beige,39500
2011,Kia,Soul,!,Wagon,automatic,fl,2.0,54485.0,gray,black,9600
2012,Honda,Accord,SE,Sedan,automatic,pa,2.3,52087.0,black,black,10800
2014,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ga,3.6,16457.0,white,tan,23000
2014,BMW,4 Series,428i,Convertible,automatic,nj,4.1,5503.0,black,black,48500
2012,Ford,Focus,Titanium,hatchback,automatic,tn,3.9,28771.0,white,black,13400
2014,Mazda,Mazda6,i Sport,Sedan,automatic,fl,4.5,27023.0,gray,black,16000
2012,Toyota,Highlander,Base,SUV,automatic,ca,4.2,40905.0,gray,beige,26400
2011,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,tn,2.8,28525.0,black,black,18200
2014,Ford,Escape,S,SUV,automatic,ca,3.7,40222.0,gray,black,12500
2014,Ford,Fusion,SE,Sedan,automatic,mo,3.9,31581.0,,black,15100
2014,Ford,Mustang,V6,Convertible,automatic,fl,4.3,38268.0,gray,black,15900
2014,Chevrolet,Cruze,1LT,Sedan,automatic,fl,3.0,21440.0,blue,black,12300
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,fl,3.9,47735.0,red,beige,12800
2013,Chevrolet,Cruze,1LT,Sedan,,co,4.2,55557.0,silver,black,10400
2014,Ford,Taurus,SEL,sedan,automatic,tx,4.2,17353.0,black,black,19000
2013,Suzuki,SX4,LE Popular Package,Sedan,automatic,pr,2.9,23669.0,black,black,6700
2014,Ford,Escape,Titanium,SUV,,pa,4.5,40174.0,silver,tan,19600
2012,Ford,Focus,SE,Sedan,automatic,fl,3.8,42304.0,green,beige,9400
2012,Hyundai,Sonata,SE,Sedan,automatic,nc,1.9,89682.0,silver,gray,9100
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,ne,3.8,71732.0,silver,gray,9500
2012,Scion,tC,Base,Hatchback,automatic,oh,3.5,26050.0,gray,black,13000
2012,Acura,MDX,Base,suv,automatic,ca,4.3,33535.0,white,beige,27000
2014,Chevrolet,Sonic,LTZ,Sedan,automatic,fl,2.6,7230.0,gray,gray,11700
2013,Buick,Verano,Base,Sedan,automatic,pa,4.7,26345.0,blue,gray,12800
2012,Honda,Odyssey,EX,minivan,automatic,pa,2.1,24081.0,blue,gray,16200
2014,Toyota,Camry,SE,sedan,automatic,nv,3.7,22616.0,black,black,16700
2014,Ford,Mustang,V6,Coupe,automatic,fl,4.9,7086.0,,brown,20900
2014,Chrysler,Town and Country,Touring,minivan,automatic,ma,3.0,22080.0,silver,black,18100
2012,Chevrolet,Cruze,1LT,Sedan,automatic,mn,3.6,56552.0,blue,gray,9400
2012,Volvo,XC60,3.2,SUV,automatic,fl,4.6,45537.0,white,tan,22000
2012,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,,pa,4.2,48084.0,white,tan,32600
2011,Jaguar,XK,Base,Coupe,automatic,ca,3.5,25199.0,black,black,35000
2011,Ford,Crown Victoria,LX Fleet,Sedan,,ca,2.2,35572.0,white,beige,8500
2013,Hyundai,Genesis,3.8,sedan,automatic,fl,4.3,36806.0,black,black,18600
2013,Ford,Focus,SE,sedan,automatic,tn,3.2,14055.0,red,black,11100
2013,Ford,Edge,SEL,suv,automatic,ca,4.1,35623.0,black,black,21750
2014,BMW,5 Series,528i xDrive,Sedan,automatic,ut,,16157.0,silver,black,23000
2013,Ford,Fiesta,SE,Hatchback,automatic,hi,2.8,15406.0,blue,black,10500
2014,Kia,Sportage,LX,SUV,automatic,nv,4.9,9126.0,silver,black,18500
2013,Dodge,Avenger,SE,Sedan,automatic,pa,4.4,51942.0,white,black,9500
2012,BMW,M3,Base,Convertible,,pa,4.7,28989.0,black,beige,43000
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,tn,2.6,38426.0,black,black,19200
2013,BMW,M5,Base,Sedan,automatic,ca,4.6,13585.0,black,black,65000
2015,Volvo,V60,T5 Drive-E,Wagon,automatic,fl,4.3,11023.0,black,black,27500
2014,Kia,Rio,LX,Sedan,,ga,4.7,9830.0,gray,gray,11600
2014,Nissan,Altima,2.5 S,Sedan,automatic,il,2.5,34709.0,beige,beige,12800
2012,Nissan,Quest,SV,Minivan,,nj,4.4,33489.0,white,gray,16600
2011,Infiniti,G Sedan,G37x,G Sedan,automatic,mo,3.4,30473.0,brown,black,18200
2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,tn,5.0,20956.0,white,gray,20700
2014,Jeep,Grand Cherokee,Laredo,SUV,automatic,pa,3.0,20353.0,white,black,20300
2011,Ram,1500,SLT,Regular Cab,automatic,mi,3.4,25337.0,white,black,12100
2011,Ford,Escape,Limited,SUV,automatic,nj,3.8,83199.0,beige,tan,9400
2012,Honda,CR-V,EX,suv,automatic,pa,2.6,31323.0,white,beige,16100
2012,Nissan,Sentra,2.0,Sedan,,ca,2.1,23404.0,red,gray,8700
2013,Chevrolet,Cruze,2LT,Sedan,automatic,co,4.2,41605.0,black,black,11700
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wi,3.4,29610.0,silver,black,21500
2014,Dodge,Charger,SE,Sedan,automatic,fl,4.5,19393.0,white,black,16200
2011,Toyota,RAV4,Base,SUV,automatic,ga,3.6,31708.0,blue,gray,15100
2015,GMC,Yukon,SLT,SUV,,fl,4.6,16379.0,gold,gray,46100
2013,Chevrolet,Malibu,LS,Sedan,automatic,mo,2.7,38923.0,black,gray,10700
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,automatic,wi,4.1,24627.0,silver,black,22500
2012,Hyundai,Accent,GLS,Sedan,automatic,hi,3.5,46596.0,white,beige,7500
2012,BMW,5 Series Gran Turismo,535i xDrive,Hatchback,automatic,ca,4.0,30601.0,gray,,30500
2011,Ram,1500,SLT,Quad Cab,automatic,oh,4.6,39314.0,silver,gray,20800
2012,Ford,Focus,S,sedan,automatic,hi,2.5,53442.0,blue,gray,5300
2013,Ford,E-Series Van,E-150,E-Series Van,automatic,fl,3.8,65114.0,white,gray,14100
2013,Ford,F-150,FX2,supercrew,automatic,fl,4.9,9494.0,red,black,32300
2014,Toyota,Tacoma,PreRunner V6,Double Cab,automatic,ca,4.1,22632.0,blue,gray,27800
2015,Volvo,V60,T5 Drive-E,Wagon,automatic,fl,4.1,12852.0,white,beige,28050
2011,Kia,Soul,!,Wagon,,pa,3.0,77761.0,brown,black,8000
2011,Scion,tC,Base,Hatchback,automatic,mo,2.0,69901.0,silver,black,7300
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,fl,4.8,36788.0,silver,black,17600
2012,Infiniti,G Sedan,G37x,g sedan,automatic,co,4.1,38437.0,red,black,17600
2013,Infiniti,G Sedan,G37x,G Sedan,automatic,fl,3.8,20068.0,black,black,21600
2013,Chrysler,200,Touring,Sedan,automatic,ca,4.4,39204.0,gold,black,10900
2013,Ford,C-Max Energi,SEL,wagon,automatic,ny,3.3,75110.0,gray,gray,8900
2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,ga,4.0,88060.0,white,black,15700
2012,Nissan,Altima,2.5 S,Sedan,automatic,mo,4.2,51610.0,black,black,11000
2012,Nissan,Rogue,S,SUV,automatic,la,,20067.0,silver,gray,10000
2013,Ford,Focus,Titanium,Sedan,automatic,nm,3.2,1.0,purple,black,3100
2013,Toyota,Venza,LE,Wagon,automatic,mn,3.8,60323.0,black,black,15500
2014,Mercedes-Benz,C-Class,C250,Coupe,automatic,ga,4.4,8665.0,red,black,30000
2014,BMW,5 Series,535d,Sedan,automatic,ca,4.8,12292.0,white,black,46500
2014,Ford,Mustang,V6,Convertible,automatic,tn,4.1,25185.0,,gray,18400
2013,Honda,Civic,LX,Coupe,manual,ca,3.8,25142.0,silver,black,12900
2012,Chevrolet,Malibu,LS,Sedan,automatic,mi,4.8,33363.0,brown,brown,11200
2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,ca,4.4,20008.0,,black,20500
2014,Infiniti,Q50,Sport,Sedan,automatic,tn,5.0,3127.0,,black,35200
2013,Hyundai,Elantra,GLS,Sedan,automatic,fl,4.4,20722.0,gray,gray,12000
2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,ga,3.9,103398.0,black,gray,6600
2014,Ford,Taurus,Limited,Sedan,automatic,ca,4.0,28586.0,white,black,19700
2012,Kia,Optima,LX,Sedan,,pa,4.1,48794.0,black,beige,11000
2011,GMC,Yukon,Denali,suv,automatic,tx,3.4,139187.0,white,brown,22500
2012,Chevrolet,Malibu,LS,Sedan,automatic,ca,4.1,112188.0,,gray,7650
2014,Chevrolet,Sonic,LTZ,Sedan,automatic,tn,4.9,4106.0,white,black,13800
2013,Honda,Civic,LX PZEV,Sedan,automatic,ca,3.9,39744.0,white,beige,14200
2013,Ford,Explorer,XLT,SUV,automatic,mi,4.4,33242.0,black,black,27400
2012,Ford,Edge,SE Fleet,SUV,automatic,mn,3.2,119031.0,blue,beige,11500
2012,Lexus,ES 350,Base,Sedan,automatic,fl,4.8,14807.0,gold,beige,25700
2014,Chrysler,Town and Country,Touring,minivan,automatic,il,4.8,36729.0,white,gray,18700
2012,Chrysler,200,Touring,Sedan,automatic,tx,2.4,63276.0,gray,black,7500
2013,Chrysler,300,Base,Sedan,automatic,or,4.1,38595.0,white,black,18300
2012,Toyota,4Runner,Limited,SUV,automatic,oh,4.6,87971.0,blue,black,28900
2012,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,sedan,,pa,4.4,81885.0,black,black,16700
2013,Volkswagen,Jetta,Base,sedan,automatic,ca,2.0,54808.0,red,black,6400
2011,Mercedes-Benz,E-Class,E350 4MATIC,Sedan,automatic,tn,2.7,50373.0,black,off-white,23750
2012,Ford,Fusion,SEL,Sedan,automatic,mo,4.8,19721.0,,black,15200
2015,Ford,F-350 Super Duty,Lariat,crew cab,automatic,tn,4.4,16495.0,gray,black,53300
2014,Nissan,Altima,2.5 S,Sedan,automatic,ca,2.0,18708.0,black,black,9600
2012,Chevrolet,Traverse,LS,suv,automatic,co,3.2,58969.0,gray,gray,13900
2014,Chrysler,300,S,Sedan,automatic,ga,4.2,22578.0,red,black,23500
2012,Cadillac,CTS,Luxury,sedan,,pa,4.4,15441.0,silver,gray,21000
2014,Ford,Fusion,SE,Sedan,automatic,il,2.7,27614.0,silver,black,15500
2014,Jeep,Compass,Latitude,SUV,automatic,oh,5.0,1829.0,white,black,18400
2011,Jeep,Wrangler,Unlimited Rubicon,SUV,automatic,nc,4.4,97690.0,burgundy,black,23900
2014,Chevrolet,Silverado 1500,LT,Double Cab,automatic,ca,4.8,5102.0,black,black,31500
2012,Honda,Accord,LX,Sedan,automatic,pa,3.7,24092.0,silver,gray,12800
2011,Subaru,Outback,2.5i Premium,Wagon,automatic,wa,3.9,44343.0,brown,beige,17600
2012,Nissan,Sentra,2.0 SR,Sedan,,fl,2.6,26928.0,black,gray,9000
2014,Ram,1500,SLT,quad cab,automatic,ca,4.0,17401.0,gray,gray,24200
2012,Infiniti,G Convertible,G37,G Convertible,automatic,fl,3.3,25549.0,white,beige,26200
2013,Honda,Civic,LX,Sedan,automatic,il,3.8,31015.0,gray,black,12600
2013,Dodge,Avenger,SE,Sedan,automatic,nv,3.5,35794.0,gray,black,10500
2013,Volkswagen,Jetta,SE PZEV,Sedan,automatic,ca,3.9,32436.0,red,black,12000
2013,Land Rover,Range Rover Sport,HSE,SUV,automatic,ca,3.7,27259.0,black,black,48750
2012,Ram,1500,ST,Quad Cab,automatic,co,3.8,41105.0,red,black,23100
2013,Ford,Fusion,SE,Sedan,automatic,il,4.9,25281.0,silver,black,14600
2014,Kia,Soul,+,Wagon,automatic,nj,4.7,15552.0,red,black,13300
2011,Infiniti,G Sedan,G37x,G Sedan,,pa,2.8,30016.0,black,beige,17000
2014,Ford,Fiesta,Titanium,Hatchback,,qc,4.8,19855.0,black,beige,13700
2013,Nissan,Altima,2.5,Sedan,,co,4.4,50724.0,red,black,12300
2014,BMW,5 Series,535d,Sedan,automatic,nj,4.9,6085.0,white,black,48750
2012,Hyundai,Sonata,GLS,Sedan,automatic,tx,3.5,26964.0,blue,gray,13300
2014,jeep,compass,north,,,on,5.0,19215.0,black,beige,16100
2012,Ford,Fusion,SE,Sedan,automatic,fl,3.9,102171.0,silver,black,7400
2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,Sedan,automatic,nj,4.9,19235.0,gray,gray,30500
2014,Ford,Fusion Hybrid,SE,Sedan,automatic,fl,4.5,14255.0,,black,21700
2012,Volkswagen,Passat,SE PZEV,Sedan,automatic,md,3.8,60577.0,burgundy,black,10500
2014,Ford,F-150,XLT,SuperCrew,automatic,tn,4.9,19605.0,blue,gray,26400
2014,Lexus,ES 350,Base,Sedan,automatic,fl,4.4,9733.0,silver,black,30000
2013,Ford,Taurus,SEL,Sedan,automatic,wi,2.4,47137.0,white,beige,14300
2012,Nissan,Rogue,S,SUV,automatic,mn,4.6,63297.0,blue,black,14000
2011,Ford,Transit Connect,Wagon XLT,Minivan,,pr,3.6,29738.0,gray,gray,11500
2012,Buick,Enclave,Leather Group,SUV,automatic,wi,2.8,48991.0,blue,black,21000
2012,BMW,3 Series,328i,Convertible,automatic,fl,3.3,32288.0,white,black,26950
2013,Ford,Explorer,XLT,SUV,automatic,fl,3.6,60106.0,red,black,23000
2013,Volkswagen,Passat,SE PZEV,Sedan,automatic,oh,4.5,51511.0,black,black,12500
2012,Honda,Accord,SE,Sedan,automatic,pa,4.6,45048.0,black,black,13100
2012,FIAT,500,Pop,Hatchback,manual,fl,4.6,17253.0,brown,black,8400
